Date,Open,High,Low,Close,Volume,Change,Mid,MA5,MA20,MA60,MA120,Tomorrow Close,Fluctuation,Fluctuation Rate
2015-01-02,26799,26799,26540,26600,175499,0.0022607385079125297,26669.5,,,,,26660.0,60.0,0.002255639097744361
2015-01-05,26720,26720,26260,26660,202790,0.0022556390977443996,26490.0,,,,,25900.0,-760.0,-0.028507126781695424
2015-01-06,26300,26340,25760,25900,304710,-0.028507126781695424,26050.0,,,,,26140.0,240.0,0.009266409266409266
2015-01-07,25880,26220,25640,26140,286455,0.009266409266409203,25930.0,,,,,26280.0,140.0,0.005355776587605203
2015-01-08,26780,26780,26199,26280,289552,0.00535577658760511,26489.5,26316.0,,,,26280.0,0.0,0.0
2015-01-09,26280,26440,26280,26280,186248,0.0,26360.0,26252.0,,,,26320.0,40.0,0.0015220700152207
2015-01-12,26260,26379,26020,26320,166508,0.0015220700152207556,26199.5,26184.0,,,,26780.0,460.0,0.017477203647416412
2015-01-13,26280,26800,26000,26780,245868,0.01747720364741645,26400.0,26360.0,,,,26900.0,120.0,0.004480955937266617
2015-01-14,26780,27100,26700,26900,286645,0.004480955937266717,26900.0,26512.0,,,,26680.0,-220.0,-0.008178438661710037
2015-01-15,26900,26979,26580,26680,282078,-0.008178438661710086,26779.5,26592.0,,,,26320.0,-360.0,-0.013493253373313344
2015-01-16,26680,26680,26260,26320,271370,-0.013493253373313308,26470.0,26600.0,,,,26860.0,540.0,0.020516717325227963
2015-01-19,26580,26980,26400,26860,133459,0.020516717325227862,26690.0,26708.0,,,,27440.0,580.0,0.021593447505584513
2015-01-20,27000,27440,26900,27440,265561,0.021593447505584562,27170.0,26840.0,,,,27900.0,460.0,0.016763848396501458
2015-01-21,27340,27900,27200,27900,332253,0.016763848396501357,27550.0,27040.0,,,,27560.0,-340.0,-0.012186379928315413
2015-01-22,27960,27979,27560,27560,359154,-0.012186379928315394,27769.5,27216.0,,,,27720.0,160.0,0.005805515239477504
2015-01-23,27999,27999,27540,27720,257175,0.005805515239477588,27769.5,27496.0,,,,27780.0,60.0,0.0021645021645021645
2015-01-26,27500,27900,27280,27780,203070,0.0021645021645022577,27590.0,27680.0,,,,28000.0,220.0,0.007919366450683946
2015-01-27,27500,27999,27480,28000,199144,0.007919366450684029,27739.5,27792.0,,,,27560.0,-440.0,-0.015714285714285715
2015-01-28,27720,27800,27479,27560,216630,-0.01571428571428568,27639.5,27724.0,,,,27200.0,-360.0,-0.013062409288824383
2015-01-29,27360,27900,27140,27200,274045,-0.013062409288824406,27520.0,27652.0,26944.0,,,27300.0,100.0,0.003676470588235294
2015-01-30,27200,27540,27200,27300,322200,0.003676470588235281,27370.0,27568.0,26979.0,,,27360.0,60.0,0.002197802197802198
2015-02-02,27299,27540,27120,27360,210420,0.00219780219780219,27330.0,27484.0,27014.0,,,27320.0,-40.0,-0.0014619883040935672
2015-02-03,27600,27600,27180,27320,113088,-0.0014619883040936088,27390.0,27348.0,27085.0,,,27180.0,-140.0,-0.005124450951683748
2015-02-04,27500,27620,27180,27180,186578,-0.00512445095168379,27400.0,27272.0,27137.0,,,27160.0,-20.0,-0.0007358351729212656
2015-02-05,27180,27379,26920,27160,135408,-0.0007358351729213064,27149.5,27264.0,27181.0,,,27440.0,280.0,0.010309278350515464
2015-02-06,26919,27480,26720,27440,160101,0.010309278350515427,27100.0,27292.0,27239.0,,,27900.0,460.0,0.016763848396501458
2015-02-09,27200,27980,27140,27900,173870,0.016763848396501357,27560.0,27400.0,27318.0,,,27560.0,-340.0,-0.012186379928315413
2015-02-10,28000,28000,27540,27560,130387,-0.012186379928315394,27770.0,27448.0,27357.0,,,27100.0,-460.0,-0.016690856313497822
2015-02-11,27480,27480,27080,27100,199476,-0.01669085631349787,27280.0,27432.0,27367.0,,,26880.0,-220.0,-0.008118081180811807
2015-02-12,26800,27160,26620,26880,214964,-0.00811808118081181,26890.0,27376.0,27377.0,,,27220.0,340.0,0.012648809523809524
2015-02-13,27200,27220,26900,27220,130458,0.012648809523809534,27060.0,27332.0,27422.0,,,27480.0,260.0,0.009551800146950772
2015-02-16,27360,27480,27220,27480,124530,0.009551800146950784,27350.0,27248.0,27453.0,,,27540.0,60.0,0.002183406113537118
2015-02-17,27479,27539,27280,27540,114900,0.0021834061135370675,27409.5,27244.0,27458.0,,,27340.0,-200.0,-0.007262164124909223
2015-02-23,27560,27800,27320,27340,306036,-0.0072621641249092095,27560.0,27292.0,27430.0,,,27340.0,0.0,0.0
2015-02-24,27699,27780,27280,27340,217265,0.0,27530.0,27384.0,27419.0,,,27580.0,240.0,0.008778346744696415
2015-02-25,27600,27700,27460,27580,167485,0.008778346744696464,27580.0,27456.0,27412.0,,,27500.0,-80.0,-0.0029006526468455403
2015-02-26,27580,27600,27360,27500,163583,-0.0029006526468455807,27480.0,27460.0,27398.0,,,27140.0,-360.0,-0.01309090909090909
2015-02-27,27500,27520,27140,27140,260188,-0.013090909090909042,27330.0,27380.0,27355.0,,,28460.0,1320.0,0.04863669859985262
2015-03-02,27500,28460,27340,28460,436112,0.048636698599852535,27900.0,27604.0,27400.0,,,28360.0,-100.0,-0.0035137034434293743
2015-03-03,28699,28740,28119,28360,274976,-0.0035137034434293835,28429.5,27808.0,27458.0,,,28740.0,380.0,0.013399153737658674
2015-03-04,28220,28800,28200,28740,232062,0.013399153737658764,28500.0,28040.0,27530.0,,,28440.0,-300.0,-0.010438413361169102
2015-03-05,28780,28860,28340,28440,192312,-0.01043841336116913,28600.0,28228.0,27584.0,,,28840.0,400.0,0.014064697609001406
2015-03-06,28280,28980,28120,28840,234670,0.014064697609001309,28550.0,28568.0,27660.0,,,28400.0,-440.0,-0.015256588072122053
2015-03-09,28800,28800,28400,28400,156292,-0.015256588072122046,28600.0,28556.0,27721.0,,,28420.0,20.0,0.0007042253521126761
2015-03-10,28679,28860,28400,28420,208397,0.0007042253521127861,28630.0,28568.0,27784.0,,,29480.0,1060.0,0.03729767769176636
2015-03-11,28380,29580,28360,29480,422173,0.037297677691766395,28970.0,28716.0,27886.0,,,28940.0,-540.0,-0.018317503392130258
2015-03-12,29200,29460,28940,28940,383064,-0.01831750339213023,29200.0,28816.0,27938.0,,,29140.0,200.0,0.006910850034554251
2015-03-13,29220,29580,29100,29140,188262,0.006910850034554272,29340.0,28876.0,28017.0,,,29400.0,260.0,0.008922443376801648
2015-03-16,29160,29740,29100,29400,179491,0.008922443376801592,29420.0,29076.0,28132.0,,,29940.0,540.0,0.018367346938775512
2015-03-17,29399,29999,29200,29940,273223,0.01836734693877551,29599.5,29380.0,28285.0,,,30060.0,120.0,0.004008016032064128
2015-03-18,29920,30120,29720,30060,249287,0.004008016032064132,29920.0,29496.0,28427.0,,,29400.0,-660.0,-0.021956087824351298
