Date,Open,High,Low,Close,Volume,Change
2010-01-04,41650,42000,41100,41200,70130,-0.01904761904761909
2010-01-05,41150,41200,38600,38850,247807,-0.05703883495145634
2010-01-06,39400,39500,38100,38600,141041,-0.006435006435006385
2010-01-07,38700,39200,38600,38850,159881,0.006476683937823857
2010-01-08,38850,39000,37700,38200,67216,-0.016731016731016735
2010-01-11,38400,38550,36600,36600,125258,-0.041884816753926746
2010-01-12,36700,37600,36700,37600,124676,0.02732240437158473
2010-01-13,37600,37650,37100,37600,97996,0.0
2010-01-14,37600,37750,37100,37500,64387,-0.0026595744680850686
2010-01-15,37800,38300,37500,37600,84039,0.002666666666666595
2010-01-18,37400,37600,36600,37100,98956,-0.013297872340425565
2010-01-19,37500,37500,36650,36850,49297,-0.006738544474393482
2010-01-20,37000,37150,35800,36000,95570,-0.023066485753052923
2010-01-21,35450,37800,35450,37800,102315,0.050000000000000044
2010-01-22,37250,37800,36850,37600,76822,-0.005291005291005346
2010-01-25,36800,37950,36800,37700,57448,0.0026595744680850686
2010-01-26,37400,37500,35950,36600,152557,-0.02917771883289122
2010-01-27,36300,37250,36200,36750,32723,0.004098360655737654
2010-01-28,36850,38250,36700,38250,135543,0.04081632653061229
2010-01-29,38000,38600,37900,38300,117371,0.0013071895424836555
2010-02-01,38400,39250,38250,39000,88383,0.018276762402088753
2010-02-02,39400,39400,37800,37800,62070,-0.03076923076923077
2010-02-03,38300,38350,37600,37700,35865,-0.002645502645502673
2010-02-04,38050,39800,38000,39500,130582,0.04774535809018565
2010-02-05,38000,39150,38000,38700,112481,-0.020253164556962022
2010-02-08,38550,39550,38400,38850,43872,0.003875968992248069
2010-02-09,38500,39250,38300,39100,31959,0.006435006435006496
2010-02-10,38950,39500,38550,38650,19672,-0.011508951406649648
2010-02-11,38650,39400,38650,38850,46040,0.005174644243208348
2010-02-12,39400,39400,38600,38600,42371,-0.006435006435006385
2010-02-16,38750,39500,38700,39000,32173,0.010362694300518172
2010-02-17,39300,39450,39050,39200,40663,0.00512820512820511
2010-02-18,39700,40450,39500,39550,80461,0.008928571428571397
2010-02-19,39100,39950,39050,39300,45266,-0.006321112515802807
2010-02-22,39600,40400,39600,40300,96160,0.025445292620865034
2010-02-23,40000,40800,40000,40800,79267,0.012406947890818865
2010-02-24,40600,40600,39000,39900,94031,-0.022058823529411797
2010-02-25,40500,40500,39600,39650,50848,-0.006265664160400974
2010-02-26,39600,39750,39400,39650,20619,0.0
2010-03-02,39850,40450,39400,39650,33878,0.0
2010-03-03,39900,40000,39350,39800,26244,0.003783102143757988
